month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2019/11/01 04:00:00+00,Saturday,5,The RIDE,14615,2923,4027
2019/11/01 04:00:00+00,Sunday,4,Blue Line,112953,28238,4028
2019/11/01 04:00:00+00,Sunday,4,Orange Line,155715,38929,4029
2019/11/01 04:00:00+00,Sunday,4,Red Line,235698,58924,4030
2019/11/01 04:00:00+00,Sunday,4,Heavy Rail,504365,126091,4031
2019/11/01 04:00:00+00,Sunday,4,Green Line,261918,65480,4032
2019/11/01 04:00:00+00,Sunday,4,Light Rail,261918,65480,4033
2019/11/01 04:00:00+00,Sunday,4,Silver Line,72907,18227,4034
2019/11/01 04:00:00+00,Sunday,4,Bus,451567,112892,4035
2019/11/01 04:00:00+00,Sunday,4,All Bus,524474,131118,4036
2019/11/01 04:00:00+00,Sunday,4,Commuter Rail,47268,11817,4037
2019/11/01 04:00:00+00,Sunday,4,The RIDE,11177,2794,4038
2019/11/01 04:00:00+00,Total,30,Blue Line,1692175,56406,4039
2019/11/01 04:00:00+00,Total,30,Orange Line,4680848,156028,4040
2019/11/01 04:00:00+00,Total,30,Red Line,5843990,194800,4041
2019/11/01 04:00:00+00,Total,30,Heavy Rail,12217013,407234,4042
2019/11/01 04:00:00+00,Total,30,Green Line,4280366,142679,4043
2019/11/01 04:00:00+00,Total,30,Light Rail,4280366,142679,4044
2019/11/01 04:00:00+00,Total,30,Silver Line,1024992,34166,4045
2019/11/01 04:00:00+00,Total,30,Bus,8299364,276645,4046
2019/11/01 04:00:00+00,Total,30,Trackless Trolley,227698,7590,4047
2019/11/01 04:00:00+00,Total,30,Private Bus,78954,2632,4048
2019/11/01 04:00:00+00,Total,30,All Bus,9631009,321034,4049
2019/11/01 04:00:00+00,Total,30,Commuter Rail,2797188,93240,4050
2020/01/01 05:00:00+00,Weekday,21,Orange Line,4321821,205801,4051
2019/08/01 04:00:00+00,Total,31,Private Bus,84761,2734,4052
2019/12/01 05:00:00+00,Weekday,21,Blue Line,1310945,62426,4053
2019/09/01 04:00:00+00,Total,30,All Bus,9982198,332740,4054
2019/11/01 04:00:00+00,Total,30,Ferry,147331,4911,4055
2019/07/01 04:00:00+00,Total,31,Trackless Trolley,236796,7639,4056
2019/10/01 04:00:00+00,Total,31,Commuter Rail,2911497,93919,4057
2019/10/01 04:00:00+00,Total,31,Ferry,160480,5177,4058
2019/10/01 04:00:00+00,Total,31,The RIDE,146004,4710,4059
2019/09/01 04:00:00+00,Weekday,20,Blue Line,1521166,76058,4060
2019/09/01 04:00:00+00,Weekday,20,Orange Line,4505587,225279,4061
2019/09/01 04:00:00+00,Weekday,20,Red Line,5485803,274290,4062
2019/09/01 04:00:00+00,Weekday,20,Heavy Rail,11512557,575628,4063
2019/09/01 04:00:00+00,Weekday,20,Green Line,3869417,193471,4064
2019/09/01 04:00:00+00,Weekday,20,Light Rail,3869417,193471,4065
2019/09/01 04:00:00+00,Weekday,20,Silver Line,738886,36944,4066
2019/09/01 04:00:00+00,Weekday,20,Bus,7253134,362657,4067
2019/09/01 04:00:00+00,Weekday,20,Trackless Trolley,226294,11315,4068
2019/09/01 04:00:00+00,Weekday,20,Private Bus,62320,3116,4069
2019/09/01 04:00:00+00,Weekday,20,All Bus,8280634,414032,4070
2019/09/01 04:00:00+00,Weekday,20,Commuter Rail,2386500,119325,4071
2019/09/01 04:00:00+00,Weekday,20,Ferry,135280,6764,4072
2019/09/01 04:00:00+00,Weekday,20,The RIDE,117000,5850,4073
2019/09/01 04:00:00+00,Saturday,4,Blue Line,184724,46181,4074
2019/09/01 04:00:00+00,Saturday,4,Orange Line,411353,102838,4075
2019/09/01 04:00:00+00,Saturday,4,Red Line,548736,137184,4076
2019/09/01 04:00:00+00,Saturday,4,Heavy Rail,1144813,286203,4077
2019/09/01 04:00:00+00,Saturday,4,Green Line,492638,123160,4078
2019/09/01 04:00:00+00,Saturday,4,Light Rail,492638,123160,4079
2019/09/01 04:00:00+00,Saturday,4,Silver Line,85058,21264,4080
2019/09/01 04:00:00+00,Saturday,4,Bus,730792,182698,4081
2019/09/01 04:00:00+00,Saturday,4,Trackless Trolley,23154,5788,4082
2019/09/01 04:00:00+00,Saturday,4,All Bus,839005,209751,4083
2019/09/01 04:00:00+00,Saturday,4,Commuter Rail,66024,16506,4084
2019/09/01 04:00:00+00,Saturday,4,The RIDE,11544,2886,4085
2019/09/01 04:00:00+00,Sunday,5,Blue Line,180530,36106,4086
2019/09/01 04:00:00+00,Sunday,5,Orange Line,379862,75972,4087
2019/09/01 04:00:00+00,Sunday,5,Red Line,520834,104167,4088
2019/09/01 04:00:00+00,Sunday,5,Heavy Rail,1081226,216245,4089
2019/09/01 04:00:00+00,Sunday,5,Green Line,460581,92116,4090
2019/09/01 04:00:00+00,Sunday,5,Light Rail,460581,92116,4091
2019/09/01 04:00:00+00,Sunday,5,Silver Line,89845,17969,4092
2019/09/01 04:00:00+00,Sunday,5,Bus,615343,123069,4093
2019/09/01 04:00:00+00,Sunday,5,All Bus,705188,141038,4094
2019/09/01 04:00:00+00,Sunday,5,Commuter Rail,59505,11901,4095
2019/09/01 04:00:00+00,Sunday,5,The RIDE,14133,2827,4096
2019/09/01 04:00:00+00,Total,30,Blue Line,1919750,63992,4097
2019/09/01 04:00:00+00,Total,30,Orange Line,5371381,179046,4098
2019/09/01 04:00:00+00,Total,30,Red Line,6639955,221332,4099
2019/09/01 04:00:00+00,Total,30,Heavy Rail,13931085,464370,4100
2019/09/01 04:00:00+00,Total,30,Green Line,4903676,163456,4101
2019/09/01 04:00:00+00,Total,30,Light Rail,4903676,163456,4102
2019/09/01 04:00:00+00,Total,30,Silver Line,933957,31132,4103
2019/09/01 04:00:00+00,Total,30,Bus,8720168,290672,4104
2019/09/01 04:00:00+00,Total,30,Trackless Trolley,249448,8315,4105
2019/09/01 04:00:00+00,Total,30,Private Bus,78625,2621,4106
2019/07/01 04:00:00+00,Total,31,Private Bus,86002,2774,4107
2019/07/01 04:00:00+00,Total,31,All Bus,9764228,314975,4108
2019/07/01 04:00:00+00,Total,31,Commuter Rail,2669884,86125,4109
2019/07/01 04:00:00+00,Total,31,Ferry,150474,4854,4110
2019/07/01 04:00:00+00,Total,31,The RIDE,200568,6470,4111
2019/11/01 04:00:00+00,Total,30,The RIDE,108256,3609,4112
2019/09/01 04:00:00+00,Total,30,Commuter Rail,2553903,85130,4113
2019/12/01 05:00:00+00,Weekday,21,Orange Line,3895916,185520,4114
2019/08/01 04:00:00+00,Total,31,All Bus,9819745,316766,4115
2020/01/01 05:00:00+00,Weekday,21,Red Line,5260299,250490,4116
2019/06/01 04:00:00+00,Weekday,20,Blue Line,1423295,71165,4117
2019/10/01 04:00:00+00,Weekday,23,Blue Line,1691330,73536,4118
2019/09/01 04:00:00+00,Total,30,Ferry,148822,4961,4119
2019/12/01 05:00:00+00,Weekday,21,Red Line,4735624,225506,4120
2019/08/01 04:00:00+00,Total,31,Commuter Rail,2800661,90344,4121
2020/01/01 05:00:00+00,Weekday,21,Heavy Rail,10979299,522824,4122
2019/06/01 04:00:00+00,Weekday,20,Orange Line,4135346,206767,4123
2019/10/01 04:00:00+00,Weekday,23,Orange Line,5021380,218321,4124
2019/09/01 04:00:00+00,Total,30,The RIDE,158647,5288,4125
2019/12/01 05:00:00+00,Weekday,21,Heavy Rail,9942485,473452,4126
2019/08/01 04:00:00+00,Total,31,Ferry,151493,4887,4127
2020/01/01 05:00:00+00,Weekday,21,Green Line,3473442,165402,4128
2019/06/01 04:00:00+00,Weekday,20,Red Line,4996532,249827,4129
2019/10/01 04:00:00+00,Weekday,23,Red Line,6281604,273113,4130
2019/08/01 04:00:00+00,Weekday,22,Blue Line,1569038,71320,4131
2019/12/01 05:00:00+00,Weekday,21,Green Line,3267278,155585,4132
2019/12/01 05:00:00+00,Weekday,21,Light Rail,3267278,155585,4133
2019/12/01 05:00:00+00,Weekday,21,Silver Line,739832,35230,4134
2019/12/01 05:00:00+00,Weekday,21,Bus,6502513,309643,4135
2019/12/01 05:00:00+00,Weekday,21,Trackless Trolley,185293,8823,4136
2019/12/01 05:00:00+00,Weekday,21,Private Bus,149016,7096,4137
2019/12/01 05:00:00+00,Weekday,21,All Bus,7576654,360793,4138
2019/12/01 05:00:00+00,Weekday,21,Commuter Rail,2538270,120870,4139
2019/12/01 05:00:00+00,Weekday,21,Ferry,93492,4452,4140
2019/12/01 05:00:00+00,Weekday,21,The RIDE,109914,5234,4141
2019/12/01 05:00:00+00,Saturday,4,Blue Line,154720,38680,4142
2019/12/01 05:00:00+00,Saturday,4,Orange Line,352977,88244,4143
2019/12/01 05:00:00+00,Saturday,4,Red Line,280078,70020,4144
2019/12/01 05:00:00+00,Saturday,4,Heavy Rail,787775,196944,4145
2019/12/01 05:00:00+00,Saturday,4,Green Line,369863,92466,4146
2019/12/01 05:00:00+00,Saturday,4,Light Rail,369863,92466,4147
2019/12/01 05:00:00+00,Saturday,4,Silver Line,76916,19229,4148
2019/12/01 05:00:00+00,Saturday,4,Bus,685719,171430,4149
2019/12/01 05:00:00+00,Saturday,4,Trackless Trolley,17205,4301,4150
2019/12/01 05:00:00+00,Saturday,4,All Bus,779840,194960,4151
2019/12/01 05:00:00+00,Saturday,4,Commuter Rail,68980,17245,4152
2019/12/01 05:00:00+00,Saturday,4,The RIDE,11872,2968,4153
2019/12/01 05:00:00+00,Sunday,5,Blue Line,147696,29539,4154
2019/12/01 05:00:00+00,Sunday,5,Orange Line,329166,65833,4155
2019/12/01 05:00:00+00,Sunday,5,Red Line,292614,58523,4156
2019/12/01 05:00:00+00,Sunday,5,Heavy Rail,769476,153895,4157
2019/12/01 05:00:00+00,Sunday,5,Green Line,349748,69950,4158
2019/12/01 05:00:00+00,Sunday,5,Light Rail,349748,69950,4159
2019/12/01 05:00:00+00,Sunday,5,Silver Line,83436,16687,4160
2019/12/01 05:00:00+00,Sunday,5,Bus,546703,109341,4161
2019/12/01 05:00:00+00,Sunday,5,All Bus,630139,126028,4162
2019/12/01 05:00:00+00,Sunday,5,Commuter Rail,60625,12125,4163
2019/12/01 05:00:00+00,Sunday,5,The RIDE,13800,2760,4164
2019/12/01 05:00:00+00,Total,31,Blue Line,1626513,52468,4165
2019/12/01 05:00:00+00,Total,31,Orange Line,4607713,148636,4166
2019/12/01 05:00:00+00,Total,31,Red Line,5341073,172293,4167
2019/12/01 05:00:00+00,Total,31,Heavy Rail,11575299,373397,4168
2019/12/01 05:00:00+00,Total,31,Green Line,4011537,129404,4169
2019/12/01 05:00:00+00,Total,31,Light Rail,4011537,129404,4170
2019/12/01 05:00:00+00,Total,31,Silver Line,910832,29382,4171
2019/12/01 05:00:00+00,Total,31,Bus,7788651,251247,4172
2019/12/01 05:00:00+00,Total,31,Trackless Trolley,202498,6532,4173
2019/12/01 05:00:00+00,Total,31,Private Bus,96504,3113,4174
2019/12/01 05:00:00+00,Total,31,All Bus,8998485,290274,4175
2019/12/01 05:00:00+00,Total,31,Commuter Rail,2679997,86452,4176
2019/12/01 05:00:00+00,Total,31,Ferry,140704,4539,4177
2019/08/01 04:00:00+00,Total,31,The RIDE,202987,6548,4178
2019/07/01 04:00:00+00,Weekday,22,Blue Line,1595001,72500,4179
2019/07/01 04:00:00+00,Weekday,22,Orange Line,4532500,206023,4180
2019/07/01 04:00:00+00,Weekday,22,Red Line,5580380,253654,4181
2019/07/01 04:00:00+00,Weekday,22,Heavy Rail,11707881,532176,4182
2019/07/01 04:00:00+00,Weekday,22,Green Line,3965521,180251,4183
2019/07/01 04:00:00+00,Weekday,22,Light Rail,3965521,180251,4184
2019/07/01 04:00:00+00,Weekday,22,Silver Line,825192,37509,4185
2019/07/01 04:00:00+00,Weekday,22,Bus,7204590,327481,4186
2019/07/01 04:00:00+00,Weekday,22,Trackless Trolley,236254,10739,4187
2019/07/01 04:00:00+00,Weekday,22,Private Bus,73744,3352,4188
2019/07/01 04:00:00+00,Weekday,22,All Bus,8339781,379081,4189
2019/07/01 04:00:00+00,Weekday,22,Commuter Rail,2625150,119325,4190
2019/07/01 04:00:00+00,Weekday,22,Ferry,121000,5500,4191
2019/07/01 04:00:00+00,Weekday,22,The RIDE,123486,5613,4192
2019/07/01 04:00:00+00,Saturday,4,Blue Line,194219,48555,4193
2019/07/01 04:00:00+00,Saturday,4,Orange Line,409140,102285,4194
2019/07/01 04:00:00+00,Saturday,4,Red Line,477098,119274,4195
2019/07/01 04:00:00+00,Saturday,4,Heavy Rail,1080458,270114,4196
2019/07/01 04:00:00+00,Saturday,4,Green Line,433286,108322,4197
2019/07/01 04:00:00+00,Saturday,4,Light Rail,433286,108322,4198
2019/07/01 04:00:00+00,Saturday,4,Silver Line,87124,21781,4199
2019/07/01 04:00:00+00,Saturday,4,Bus,669514,167378,4200
2019/07/01 04:00:00+00,Saturday,4,Trackless Trolley,19283,4821,4201
2019/07/01 04:00:00+00,Saturday,4,All Bus,775921,193980,4202
2019/07/01 04:00:00+00,Saturday,4,Commuter Rail,74252,18563,4203
2019/07/01 04:00:00+00,Saturday,4,The RIDE,12400,3100,4204
2019/07/01 04:00:00+00,Sunday,4,Blue Line,159396,39849,4205
2019/07/01 04:00:00+00,Sunday,4,Orange Line,325640,81410,4206
2019/07/01 04:00:00+00,Sunday,4,Red Line,400099,100025,4207
2019/07/01 04:00:00+00,Sunday,4,Heavy Rail,885135,221284,4208
2019/07/01 04:00:00+00,Sunday,4,Green Line,361430,90358,4209
2019/07/01 04:00:00+00,Sunday,4,Light Rail,361430,90358,4210
2019/07/01 04:00:00+00,Sunday,4,Silver Line,79712,19928,4211
2019/07/01 04:00:00+00,Sunday,4,Bus,472640,118160,4212
2019/07/01 04:00:00+00,Sunday,4,All Bus,552353,138088,4213
2019/07/01 04:00:00+00,Sunday,4,Commuter Rail,50476,12619,4214
2019/07/01 04:00:00+00,Sunday,4,The RIDE,10147,2537,4215
2019/07/01 04:00:00+00,Total,31,Blue Line,1986990,64096,4216
2019/07/01 04:00:00+00,Total,31,Orange Line,5350327,172591,4217
2019/07/01 04:00:00+00,Total,31,Red Line,6558589,211567,4218
2019/07/01 04:00:00+00,Total,31,Heavy Rail,13895905,448255,4219
2019/07/01 04:00:00+00,Total,31,Green Line,4846481,156338,4220
2019/07/01 04:00:00+00,Total,31,Light Rail,4846481,156338,4221
2019/07/01 04:00:00+00,Total,31,Silver Line,1024590,33051,4222
2019/07/01 04:00:00+00,Total,31,Bus,8416840,271511,4223
2020/01/01 05:00:00+00,Weekday,21,Light Rail,3473442,165402,4224
2020/01/01 05:00:00+00,Weekday,21,Silver Line,778615,37077,4225
2020/01/01 05:00:00+00,Weekday,21,Bus,7153034,340621,4226
2020/01/01 05:00:00+00,Weekday,21,Trackless Trolley,205072,9765,4227
2020/01/01 05:00:00+00,Weekday,21,Private Bus,107100,5100,4228
2020/01/01 05:00:00+00,Weekday,21,All Bus,8243821,392563,4229
2020/01/01 05:00:00+00,Weekday,21,Commuter Rail,2506182,119342,4230
2020/01/01 05:00:00+00,Weekday,21,Ferry,106785,5085,4231
2020/01/01 05:00:00+00,Weekday,21,The RIDE,117180,5580,4232
2020/01/01 05:00:00+00,Saturday,5,Blue Line,136908,27382,4233
2020/01/01 05:00:00+00,Saturday,5,Orange Line,241135,48227,4234
2020/01/01 05:00:00+00,Saturday,5,Red Line,376460,75292,4235
2020/01/01 05:00:00+00,Saturday,5,Heavy Rail,754502,150900,4236
2020/01/01 05:00:00+00,Saturday,5,Green Line,342411,68482,4237
2020/01/01 05:00:00+00,Saturday,5,Light Rail,342411,68482,4238
2020/01/01 05:00:00+00,Saturday,5,Silver Line,82017,16403,4239
2020/01/01 05:00:00+00,Saturday,5,Bus,647624,129525,4240
2020/01/01 05:00:00+00,Saturday,5,Trackless Trolley,16538,3308,4241
2020/01/01 05:00:00+00,Saturday,5,All Bus,746179,149236,4242
2020/01/01 05:00:00+00,Saturday,5,Commuter Rail,83730,16746,4243
2020/01/01 05:00:00+00,Saturday,5,The RIDE,14205,2841,4244
2020/01/01 05:00:00+00,Sunday,4,Blue Line,107443,26861,4245
2020/01/01 05:00:00+00,Sunday,4,Orange Line,171335,42834,4246
2020/01/01 05:00:00+00,Sunday,4,Red Line,297055,74264,4247
2020/01/01 05:00:00+00,Sunday,4,Heavy Rail,575833,143958,4248
2020/01/01 05:00:00+00,Sunday,4,Green Line,262699,65675,4249
2020/01/01 05:00:00+00,Sunday,4,Light Rail,262699,65675,4250
2020/01/01 05:00:00+00,Sunday,4,Silver Line,72457,18114,4251
2020/01/01 05:00:00+00,Sunday,4,Bus,448113,112028,4252
2020/01/01 05:00:00+00,Sunday,4,All Bus,520570,130142,4253
2020/01/01 05:00:00+00,Sunday,4,Commuter Rail,47496,11874,4254
2020/01/01 05:00:00+00,Sunday,4,The RIDE,9821,2455,4255
2020/01/01 05:00:00+00,Total,31,Blue Line,1761812,56833,4256
2020/01/01 05:00:00+00,Total,31,Orange Line,5041751,162637,4257
2020/01/01 05:00:00+00,Total,31,Red Line,6286266,202783,4258
2020/01/01 05:00:00+00,Total,31,Heavy Rail,13089829,422253,4259
2020/01/01 05:00:00+00,Total,31,Green Line,4380768,141315,4260
2020/01/01 05:00:00+00,Total,31,Light Rail,4380768,141315,4261
2020/01/01 05:00:00+00,Total,31,Silver Line,973248,31395,4262
2020/01/01 05:00:00+00,Total,31,Bus,8493962,273999,4263
2020/01/01 05:00:00+00,Total,31,Trackless Trolley,226895,7319,4264
2020/01/01 05:00:00+00,Total,31,Private Bus,96904,3126,4265
2020/01/01 05:00:00+00,Total,31,All Bus,9791008,315839,4266
2020/01/01 05:00:00+00,Total,31,Commuter Rail,2751882,88770,4267
2020/01/01 05:00:00+00,Total,31,Ferry,149484,4822,4268
2020/01/01 05:00:00+00,Total,31,The RIDE,113900,3674,4269
2019/06/01 04:00:00+00,Weekday,20,Heavy Rail,10555173,527759,4270
2019/06/01 04:00:00+00,Weekday,20,Green Line,3661246,183062,4271
2019/06/01 04:00:00+00,Weekday,20,Light Rail,3661246,183062,4272
2019/06/01 04:00:00+00,Weekday,20,Silver Line,765614,38281,4273
2019/06/01 04:00:00+00,Weekday,20,Bus,6752289,337614,4274
2019/06/01 04:00:00+00,Weekday,20,Trackless Trolley,217986,10899,4275
2019/06/01 04:00:00+00,Weekday,20,Private Bus,66540,3327,4276
2019/06/01 04:00:00+00,Weekday,20,All Bus,7802430,390122,4277
2019/06/01 04:00:00+00,Weekday,20,Commuter Rail,2394520,119726,4278
2019/06/01 04:00:00+00,Weekday,20,Ferry,141620,7081,4279
2019/06/01 04:00:00+00,Weekday,20,The RIDE,121120,6056,4280
2019/06/01 04:00:00+00,Saturday,5,Blue Line,228042,45608,4281
2019/06/01 04:00:00+00,Saturday,5,Orange Line,556675,111335,4282
2019/06/01 04:00:00+00,Saturday,5,Red Line,650702,130140,4283
2019/06/01 04:00:00+00,Saturday,5,Heavy Rail,1435419,287084,4284
2019/06/01 04:00:00+00,Saturday,5,Green Line,565978,113196,4285
2019/06/01 04:00:00+00,Saturday,5,Light Rail,565978,113196,4286
2019/06/01 04:00:00+00,Saturday,5,Silver Line,115498,23100,4287
2019/06/01 04:00:00+00,Saturday,5,Bus,901980,180396,4288
2019/06/01 04:00:00+00,Saturday,5,Trackless Trolley,28309,5662,4289
2019/06/01 04:00:00+00,Saturday,5,All Bus,1045787,209157,4290
2019/06/01 04:00:00+00,Saturday,5,Commuter Rail,93285,18657,4291
2019/06/01 04:00:00+00,Saturday,5,The RIDE,15500,3100,4292
2019/06/01 04:00:00+00,Sunday,5,Blue Line,166652,33330,4293
2019/06/01 04:00:00+00,Sunday,5,Orange Line,388652,77730,4294
2019/06/01 04:00:00+00,Sunday,5,Red Line,477056,95411,4295
2019/06/01 04:00:00+00,Sunday,5,Heavy Rail,1032360,206472,4296
2019/06/01 04:00:00+00,Sunday,5,Green Line,401523,80305,4297
2019/06/01 04:00:00+00,Sunday,5,Light Rail,401523,80305,4298
2019/06/01 04:00:00+00,Sunday,5,Silver Line,93567,18713,4299
2019/06/01 04:00:00+00,Sunday,5,Bus,576674,115335,4300
2019/06/01 04:00:00+00,Sunday,5,All Bus,670242,134048,4301
2019/06/01 04:00:00+00,Sunday,5,Commuter Rail,63095,12619,4302
2019/06/01 04:00:00+00,Sunday,5,The RIDE,13650,2730,4303
2019/06/01 04:00:00+00,Total,30,Blue Line,1817989,60600,4304
2019/06/01 04:00:00+00,Total,30,Orange Line,5080673,169356,4305
2019/06/01 04:00:00+00,Total,30,Red Line,6124291,204143,4306
2019/06/01 04:00:00+00,Total,30,Heavy Rail,13022952,434098,4307
2019/06/01 04:00:00+00,Total,30,Green Line,4628747,154292,4308
2019/06/01 04:00:00+00,Total,30,Light Rail,4628747,154292,4309
2019/06/01 04:00:00+00,Total,30,Silver Line,986733,32891,4310
2019/10/01 04:00:00+00,Weekday,23,Heavy Rail,12994314,564970,4311
2019/08/01 04:00:00+00,Weekday,22,Orange Line,4423578,201072,4312
2019/08/01 04:00:00+00,Weekday,22,Red Line,5451750,247807,4313
2019/08/01 04:00:00+00,Weekday,22,Heavy Rail,11444367,520198,4314
2019/08/01 04:00:00+00,Weekday,22,Green Line,3794895,172495,4315
2019/08/01 04:00:00+00,Weekday,22,Light Rail,3794895,172495,4316
2019/08/01 04:00:00+00,Weekday,22,Silver Line,823813,37446,4317
2019/08/01 04:00:00+00,Weekday,22,Bus,7114857,323403,4318
2019/08/01 04:00:00+00,Weekday,22,Trackless Trolley,223833,10174,4319
2019/08/01 04:00:00+00,Weekday,22,Private Bus,71610,3255,4320
2019/08/01 04:00:00+00,Weekday,22,All Bus,8234113,374278,4321
2019/08/01 04:00:00+00,Weekday,22,Commuter Rail,2655004,120682,4322
2019/08/01 04:00:00+00,Weekday,22,Ferry,123200,5600,4323
2019/08/01 04:00:00+00,Weekday,22,The RIDE,125884,5722,4324
2019/08/01 04:00:00+00,Saturday,5,Blue Line,227234,45447,4325
2019/08/01 04:00:00+00,Saturday,5,Orange Line,496504,99301,4326
2019/08/01 04:00:00+00,Saturday,5,Red Line,614354,122871,4327
2019/08/01 04:00:00+00,Saturday,5,Heavy Rail,1338091,267618,4328
2019/08/01 04:00:00+00,Saturday,5,Green Line,519289,103858,4329
2019/08/01 04:00:00+00,Saturday,5,Light Rail,519289,103858,4330
2019/08/01 04:00:00+00,Saturday,5,Silver Line,114274,22855,4331
2019/08/01 04:00:00+00,Saturday,5,Bus,883945,176789,4332
2019/08/01 04:00:00+00,Saturday,5,Trackless Trolley,29473,5895,4333
2019/08/01 04:00:00+00,Saturday,5,All Bus,1027693,205539,4334
2019/08/01 04:00:00+00,Saturday,5,Commuter Rail,92185,18437,4335
2019/08/01 04:00:00+00,Saturday,5,The RIDE,14840,2968,4336
2019/08/01 04:00:00+00,Sunday,4,Blue Line,145674,36418,4337
2019/08/01 04:00:00+00,Sunday,4,Orange Line,300910,75228,4338
2019/08/01 04:00:00+00,Sunday,4,Red Line,397855,99464,4339
2019/08/01 04:00:00+00,Sunday,4,Heavy Rail,844439,211110,4340
2019/08/01 04:00:00+00,Sunday,4,Green Line,329283,82321,4341
2019/08/01 04:00:00+00,Sunday,4,Light Rail,329283,82321,4342
2019/08/01 04:00:00+00,Sunday,4,Silver Line,76243,19061,4343
2019/08/01 04:00:00+00,Sunday,4,Bus,468545,117136,4344
2019/08/01 04:00:00+00,Sunday,4,All Bus,544788,136197,4345
2019/08/01 04:00:00+00,Sunday,4,Commuter Rail,53472,13368,4346
2019/08/01 04:00:00+00,Sunday,4,The RIDE,10809,2702,4347
2019/08/01 04:00:00+00,Total,31,Blue Line,1941946,62643,4348
2019/08/01 04:00:00+00,Total,31,Orange Line,5220991,168419,4349
2019/08/01 04:00:00+00,Total,31,Red Line,6463959,208515,4350
2019/08/01 04:00:00+00,Total,31,Heavy Rail,13626897,439577,4351
2019/08/01 04:00:00+00,Total,31,Green Line,4643466,149789,4352
2019/08/01 04:00:00+00,Total,31,Light Rail,4643466,149789,4353
2019/08/01 04:00:00+00,Total,31,Silver Line,1014331,32720,4354
2019/08/01 04:00:00+00,Total,31,Bus,8467347,273140,4355
2019/08/01 04:00:00+00,Total,31,Trackless Trolley,253306,8171,4356
2019/10/01 04:00:00+00,Weekday,23,Green Line,4263843,185384,4357
2019/10/01 04:00:00+00,Weekday,23,Light Rail,4263843,185384,4358
2019/10/01 04:00:00+00,Weekday,23,Silver Line,894937,38910,4359
2019/10/01 04:00:00+00,Weekday,23,Bus,8285653,360246,4360
2019/10/01 04:00:00+00,Weekday,23,Trackless Trolley,243147,10572,4361
2019/10/01 04:00:00+00,Weekday,23,Private Bus,76475,3325,4362
2019/10/01 04:00:00+00,Weekday,23,All Bus,9500212,413053,4363
2019/10/01 04:00:00+00,Weekday,23,Commuter Rail,2799238,121706,4364
2019/10/01 04:00:00+00,Weekday,23,Ferry,136022,5914,4365
2019/10/01 04:00:00+00,Weekday,23,The RIDE,137172,5964,4366
2019/10/01 04:00:00+00,Saturday,4,Blue Line,161326,40332,4367
2019/10/01 04:00:00+00,Saturday,4,Orange Line,138143,34536,4368
2019/10/01 04:00:00+00,Saturday,4,Red Line,512123,128031,4369
2019/10/01 04:00:00+00,Saturday,4,Heavy Rail,811592,202898,4370
2019/10/01 04:00:00+00,Saturday,4,Green Line,410495,102624,4371
2019/10/01 04:00:00+00,Saturday,4,Light Rail,410495,102624,4372
2019/10/01 04:00:00+00,Saturday,4,Silver Line,97577,24394,4373
2019/10/01 04:00:00+00,Saturday,4,Bus,728481,182120,4374
2019/10/01 04:00:00+00,Saturday,4,Trackless Trolley,22802,5700,4375
2019/10/01 04:00:00+00,Saturday,4,All Bus,848860,212215,4376
2019/10/01 04:00:00+00,Saturday,4,Commuter Rail,65368,16342,4377
2019/10/01 04:00:00+00,Saturday,4,The RIDE,11648,2912,4378
2019/10/01 04:00:00+00,Sunday,4,Blue Line,117471,29368,4379
2019/10/01 04:00:00+00,Sunday,4,Orange Line,98647,24662,4380
2019/10/01 04:00:00+00,Sunday,4,Red Line,370651,92663,4381
2019/10/01 04:00:00+00,Sunday,4,Heavy Rail,586769,146692,4382
2019/10/01 04:00:00+00,Sunday,4,Green Line,293863,73466,4383
2019/10/01 04:00:00+00,Sunday,4,Light Rail,293863,73466,4384
2019/10/01 04:00:00+00,Sunday,4,Silver Line,79424,19856,4385
2019/10/01 04:00:00+00,Sunday,4,Bus,464601,116150,4386
2019/10/01 04:00:00+00,Sunday,4,All Bus,544026,136006,4387
2019/10/01 04:00:00+00,Sunday,4,Commuter Rail,46888,11722,4388
2019/10/01 04:00:00+00,Sunday,4,The RIDE,10951,2738,4389
2019/10/01 04:00:00+00,Total,31,Blue Line,1970127,63552,4390
2019/10/01 04:00:00+00,Total,31,Orange Line,5258169,169618,4391
2019/10/01 04:00:00+00,Total,31,Red Line,7164378,231109,4392
2019/10/01 04:00:00+00,Total,31,Heavy Rail,14392675,464280,4393
2019/10/01 04:00:00+00,Total,31,Green Line,4968201,160265,4394
2019/10/01 04:00:00+00,Total,31,Light Rail,4968201,160265,4395
2019/10/01 04:00:00+00,Total,31,Silver Line,1071939,34579,4396
2019/10/01 04:00:00+00,Total,31,Bus,9478735,305766,4397
2019/10/01 04:00:00+00,Total,31,Trackless Trolley,265948,8579,4398
2019/10/01 04:00:00+00,Total,31,Private Bus,86862,2802,4399
2019/10/01 04:00:00+00,Total,31,All Bus,10903484,351725,4400
2019/02/01 05:00:00+00,Total,28,Heavy Rail,11548009,412429,4401
2019/02/01 05:00:00+00,Total,28,Green Line,4278179,152792,4402
2019/02/01 05:00:00+00,Total,28,Light Rail,4278179,152792,4403
2019/02/01 05:00:00+00,Total,28,Silver Line,827339,29548,4404
